Variable,All,Credit,Depot
'SGMIM',0.16917231175993028,0.004715447693268058,0.16695481613453478
'CEBPF5',0.12512523790614685,0.0027762601894221885,0.12590181938977366
'MTEEML',0.09187939701435839,0.034310036821454365,0.09299477708601606
'QTAGCL',0.05291748459191832,0.03825659459347242,0.05310248517844704
'MTECSL',0.03706872733157467,0.02792459394245652,0.03865420332513071
'MTRSMO',0.03427950544940391,0.027550238432676833,0.03523654017254471
'LON',0.03367482470088518,0.03837847156206433,0.03353846221317383
'MTELEP',0.03301773248881539,0.01280125570315546,0.03402926334977182
'LAT',0.03283548040552195,0.03864027098980306,0.03288487141852338
'MCTOTA',0.029386878424200187,0.030575619719754994,0.029745418145315925
